Body Region,Male Mean,Female Mean,Male N,Female N,t-statistic,p-value,Cohen's d,Significant
Hand Back,15.174285714285714,14.503225806451612,175,186,1.0164228286237154,0.3101125863862831,0.10704158103926852,False
Fingertip,2.0662857142857143,1.9655913978494626,175,186,0.9103581804313587,0.36324445863925703,0.09587169453617161,False
Forearm,25.543428571428574,24.28655913978494,175,186,1.0767335603294514,0.28232233606253354,0.1133930283834398,False
Back,34.55918367346939,30.982278481012663,98,79,1.7030889190751939,0.0903267246123642,0.2575119413530536,False
Palm,7.318128654970761,7.717582417582417,171,182,-1.123461783079429,0.26200922752874223,-0.11964978073184869,False
