,n,mean,median,std,min,max,q25,q75
Hand Back,361.0,14.82853185595568,14.0,6.269440016169186,2.0,40.0,10.0,18.0
Fingertip,361.0,2.014404432132964,2.0,1.0500530369580128,0.0,10.0,1.0,2.5
Forearm,361.0,24.895844875346263,24.0,11.086639076848941,0.5,81.0,18.0,32.0
Back,177.0,32.96271186440678,33.0,13.965044408496484,0.8,84.0,25.0,42.0
Palm,353.0,7.524079320113314,7.0,3.339767839380931,0.0,18.0,5.0,10.0
