Datum,Stdgang,Person,Handrücken,Fingerkuppe,Unterarm,Rücken,Handfläche
18.05.2018,MBI17_Grp1,5,10,1,65,,4
18.05.2018,MBI17_Grp1,6,4,1,19,2,5
18.05.2018,MBI17_Grp1,7,15,3,30,,7
18.05.2018,MBI17_Grp1,8,8,3,15,,7
18.05.2018,MBI17_Grp1,9,25,1,19,,3
18.05.2018,MBI17_Grp1,11,20,1,38,15,2
18.05.2018,MBI17_Grp1,12,28,2,43,,6
18.05.2018,MBI17_Grp1,13,21,"1,5",24,,12
18.05.2018,MBI17_Grp1,15,12,2,25,30,8
25.05.2018,MBI17_Grp2,1,13,2,35,45,10
25.05.2018,MBI17_Grp2,2,22,5,19,,1
25.05.2018,MBI17_Grp2,3,21,2,40,35,8
25.05.2018,MBI17_Grp2,4,9,1,17,,5
25.05.2018,MBI17_Grp2,5,19,2,23,,8
25.05.2018,MBI17_Grp2,6,18,1,28,9,4
25.05.2018,MBI17_Grp2,7,17,2,15,,4
25.05.2018,MBI17_Grp2,8,14,1,39,,8
25.05.2018,MBI17_Grp2,9,40,5,27,,9
25.05.2018,MBI17_Grp2,10,28,2,"19,5",,9
25.05.2018,MBI17_Grp2,11,13,2,20,,13
25.05.2018,MBI17_Grp2,12,22,2,32,,9
25.05.2018,MBI17_Grp2,13,16,1,19,20,6
25.05.2018,MBI17_Grp2,14,16,3,53,,11
25.05.2018,MBI17_Grp2,15,31,5,15,,10
10.11.2018,HCC18_Grp1,1,16,2,32,55,8
10.11.2018,HCC18_Grp1,2,14,3,34,45,9
10.11.2018,HCC18_Grp1,3,12,4,28,61,11
10.11.2018,HCC18_Grp1,4,17,2,19,,12
10.11.2018,HCC18_Grp1,5,20,2,31,84,11
10.11.2018,HCC18_Grp1,6,14,3,36,30,13
10.11.2018,HCC18_Grp1,7,27,4,47,40,12
24.11.2018,HCC18_Grp2,1,25,2,45,44,6
24.11.2018,HCC18_Grp2,2,30,"1,75",30,41,"7,5"
24.11.2018,HCC18_Grp2,3,10,"0,8",26,36,1
24.11.2018,HCC18_Grp2,4,17,1,36,22,9
24.11.2018,HCC18_Grp2,5,7,3,10,18,1
24.11.2018,HCC18_Grp2,6,18,2,37,18,6
24.11.2018,HCC18_Grp2,7,9,"0,8",15,19,"7,8"
24.11.2018,HCC18_Grp2,8,25,2,81,39,6
10.05.2019,MBI18_Grp1,1,3,1,20,,4
10.05.2019,MBI18_Grp1,2,15,"2,5",30,,9
