,drop_gekocht,drop_ungekocht
count,65,66
mean,0.5301538461538461,1.6975757575757575
std,0.861968119167721,1.733143929045675
min,-0.8699999999999992,-0.41999999999999993
25%,0.11000000000000032,0.6250000000000007
50%,0.40000000000000036,1.1349999999999998
75%,0.6600000000000001,2.3325000000000005
max,4.6499999999999995,10.01
