,drop_gekocht,drop_gekocht,drop_gekocht,drop_gekocht,drop_gekocht,drop_gekocht,drop_gekocht,drop_gekocht,drop_ungekocht,drop_ungekocht,drop_ungekocht,drop_ungekocht,drop_ungekocht,drop_ungekocht,drop_ungekocht,drop_ungekocht
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Menge,,,,,,,,,,,,,,,,
200,11,0.6227272727272726,1.042785605089473,-0.05000000000000071,0.14999999999999947,0.3000000000000007,0.5750000000000002,3.67,12,1.4175000000000002,2.737623803759218,0.08000000000000007,0.31999999999999984,0.6650000000000005,1.1475000000000002,10.01
250,1,0.17999999999999972,,0.17999999999999972,0.17999999999999972,0.17999999999999972,0.17999999999999972,0.17999999999999972,1,0.8700000000000001,,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001
300,1,0.6999999999999993,,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.6999999999999993,1,3.5999999999999996,,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
350,18,0.45722222222222225,0.6034977026668642,-0.8699999999999992,0.0800000000000003,0.5099999999999989,0.6475000000000002,1.8599999999999994,18,0.911111111111111,0.8493380736777864,-0.15000000000000036,0.18249999999999944,0.8250000000000002,1.1374999999999997,2.66
400,3,0.4399999999999995,0.12124355652982234,0.3099999999999987,0.3849999999999989,0.4599999999999991,0.5049999999999999,0.5500000000000007,3,2.1133333333333337,1.3830883317175857,0.6799999999999997,1.4500000000000002,2.2200000000000006,2.8300000000000005,3.4400000000000004
450,3,0.46333333333333293,0.3572580766523455,0.1999999999999993,0.2599999999999998,0.3200000000000003,0.5949999999999998,0.8699999999999992,3,2.55,0.994535067255046,1.7400000000000002,1.995,2.25,2.9549999999999996,3.6599999999999993
500,25,0.5731999999999999,1.1105243506260154,-0.6999999999999993,0.0,0.33000000000000007,0.6699999999999999,4.6499999999999995,25,2.0107999999999997,1.5496664157166213,-0.41999999999999993,0.7999999999999989,1.6899999999999995,3.3999999999999995,4.7
600,3,0.48666666666666697,0.29280255007997014,0.22000000000000064,0.33000000000000007,0.4399999999999995,0.6200000000000001,0.8000000000000007,3,3.3000000000000007,1.9836582366930042,1.0200000000000014,2.635000000000001,4.250000000000001,4.440000000000001,4.630000000000001
